Date,Open,High,Low,Close,Adj Close,Volume
2014-01-10,10.660000,10.660000,10.660000,10.660000,6.668235,0
2014-01-13,10.700000,10.700000,10.700000,10.700000,6.693254,0
2014-01-14,10.650000,10.650000,10.650000,10.650000,6.661982,0
2014-01-15,10.640000,10.640000,10.640000,10.640000,6.655727,0
2014-01-16,10.650000,10.650000,10.650000,10.650000,6.661982,0
2014-01-17,10.660000,10.660000,10.660000,10.660000,6.668235,0
2014-01-21,10.650000,10.650000,10.650000,10.650000,6.661982,0
2014-01-22,10.620000,10.620000,10.620000,10.620000,6.643213,0
2014-01-23,10.670000,10.670000,10.670000,10.670000,6.674493,0
2014-01-24,10.680000,10.680000,10.680000,10.680000,6.680745,0
2014-01-27,10.660000,10.660000,10.660000,10.660000,6.668235,0
2014-01-28,10.690000,10.690000,10.690000,10.690000,6.687006,0
2014-01-29,10.700000,10.700000,10.700000,10.700000,6.693254,0
2014-01-30,10.710000,10.710000,10.710000,10.710000,6.699515,0
2014-01-31,10.710000,10.710000,10.710000,10.710000,6.713305,0
2014-02-03,10.740000,10.740000,10.740000,10.740000,6.732108,0
2014-02-04,10.740000,10.740000,10.740000,10.740000,6.732108,0
2014-02-05,10.730000,10.730000,10.730000,10.730000,6.725839,0
2014-02-06,10.730000,10.730000,10.730000,10.730000,6.725839,0
2014-02-07,10.780000,10.780000,10.780000,10.780000,6.757179,0
2014-02-10,10.780000,10.780000,10.780000,10.780000,6.757179,0
2014-02-11,10.740000,10.740000,10.740000,10.740000,6.732108,0
2014-02-12,10.720000,10.720000,10.720000,10.720000,6.719568,0
